 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,1.981,8533.999,553.736,7037,10392,16901.627,8201173.000
2,1.981,3274.878,268.409,2699,4055,6485.913,3147158.000
3,1.981,9427.788,679.206,7837,11070,18671.780,9060104.000
4,1.981,4114.508,428.681,3210,5590,8148.803,3954042.000
5,1.981,8389.330,567.629,6606,9848,16615.109,8062146.000
6,1.981,3093.175,220.732,2444,3645,6126.048,2972541.000
7,1.981,4723.403,555.414,3377,6406,9354.722,4539190.000
8,1.981,2411.714,176.619,1948,2957,4776.411,2317657.000
9,1.981,4609.527,607.806,3309,6854,9129.190,4429755.000
10,1.981,2180.486,126.517,1800,2556,4318.463,2095447.000
11,1.981,5110.629,428.533,4144,7051,10121.625,4911314.000
12,1.981,2643.707,131.154,2181,3054,5235.874,2540602.000
13,1.981,229.338,30.152,144,335,454.205,220394.000
14,1.981,358.563,37.725,231,503,710.136,344579.000
