measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.3893,2894.8389,368.5017,1827.9484,3510.3849,30.3251,27.3289,1.8613,1.4981,358.3335,173874.085
microtubule,2,3,2.3646,2277.9415,582.8586,1435.9484,4570.9484,17.7956,44.8067,2.3606,0.1362,284.3161,137958.634
microtubule,3,3,2.2263,3491.3741,811.1303,2348.9279,4862.0651,58.9706,57.2001,1.7251,1.4073,393.2596,190821.283
microtubule,1,2,2.3893,5499.0191,668.9616,3174.7676,6814.6367,30.3251,27.3289,1.8613,1.4981,654.3984,317533.582
microtubule,2,2,2.3646,1798.8765,518.7714,888.1522,3288.7676,17.7956,44.8067,2.3606,0.1362,238.1259,115545.769
microtubule,3,2,2.2263,3657.8349,904.0234,2568.947,5217.3892,58.9706,57.2001,1.7251,1.4073,416.2015,201953.366
background,1,3,2.3893,337.5937,95.5768,181.4932,525.2044,30.3705,26.9658,1.8613,1.4981,73.7441,35782.8477
background,2,3,2.3646,242.3617,89.2971,93.4869,486.7561,17.841,44.5344,2.3606,0.1362,61.9766,30072.904
background,3,3,2.2263,315.6832,48.134,172.4909,417.4994,59.5153,57.2001,1.7251,1.4073,66.0239,32036.7412
background,1,2,2.3893,992.9399,129.3005,767.0833,1283.7676,30.3705,26.9658,1.8613,1.4981,152.9282,74205.3032
background,2,2,2.3646,405.0597,132.8463,163.8253,646.4983,17.841,44.5344,2.3606,0.1362,85.884,41673.4805
background,3,2,2.2263,573.5423,54.7748,457.7857,711.2676,59.5153,57.2001,1.7251,1.4073,98.3838,47738.7344
