Original_Name	Blinded_Name
C-GTSE1-FKBP-GFP_Tubulin_staining_024.tif	blind_0017
C-GTSE1-FKBP-GFP_Tubulin_staining_025.tif	blind_0120
C-GTSE1-FKBP-GFP_Tubulin_staining_026.tif	blind_0107
C-GTSE1-FKBP-GFP_Tubulin_staining_027.tif	blind_0064
C-GTSE1-FKBP-GFP_Tubulin_staining_028.tif	blind_0128
C-GTSE1-FKBP-GFP_Tubulin_staining_029.tif	blind_0077
C-GTSE1-FKBP-GFP_Tubulin_staining_030.tif	blind_0071
C-GTSE1-FKBP-GFP_Tubulin_staining_031.tif	blind_0042
C-GTSE1-FKBP-GFP_Tubulin_staining_032.tif	blind_0061
C-GTSE1-FKBP-GFP_Tubulin_staining_033.tif	blind_0122
C-GTSE1-FKBP-GFP_Tubulin_staining_034.tif	blind_0056
C-GTSE1-FKBP-GFP_Tubulin_staining_035.tif	blind_0048
C-GTSE1-FKBP-GFP_control_Tubulin_staining_166.tif	blind_0023
C-GTSE1-FKBP-GFP_control_Tubulin_staining_167.tif	blind_0127
C-GTSE1-FKBP-GFP_control_Tubulin_staining_169.tif	blind_0008
C-GTSE1-FKBP-GFP_control_Tubulin_staining_170.tif	blind_0047
FKBP-GFP_control_Tubulin_staining_142.tif	blind_0085
FKBP-GFP_control_Tubulin_staining_152.tif	blind_0062
FKBP-GFP_control_Tubulin_staining_153.tif	blind_0125
FL-GTSE1-FKBP-GFP_Tubulin_staining_001.tif	blind_0086
FL-GTSE1-FKBP-GFP_Tubulin_staining_002.tif	blind_0112
FL-GTSE1-FKBP-GFP_Tubulin_staining_003.tif	blind_0076
FL-GTSE1-FKBP-GFP_Tubulin_staining_005.tif	blind_0131
FL-GTSE1-FKBP-GFP_Tubulin_staining_006.tif	blind_0016
FL-GTSE1-FKBP-GFP_Tubulin_staining_008.tif	blind_0044
FL-GTSE1-FKBP-GFP_Tubulin_staining_009.tif	blind_0080
FL-GTSE1-FKBP-GFP_Tubulin_staining_010.tif	blind_0050
FL-GTSE1-FKBP-GFP_Tubulin_staining_011.tif	blind_0102
FL-GTSE1-FKBP-GFP_control_Tubulin_staining_158.tif	blind_0002
FL-GTSE1-FKBP-GFP_control_Tubulin_staining_160.tif	blind_0006
GTSE1(1-160)-FKBP-GFP_Tubulin_staining_037.tif	blind_0046
GTSE1(1-160)-FKBP-GFP_Tubulin_staining_038.tif	blind_0117
GTSE1(1-160)-FKBP-GFP_Tubulin_staining_039.tif	blind_0065
GTSE1(1-160)-FKBP-GFP_Tubulin_staining_040.tif	blind_0022
GTSE1(1-160)-FKBP-GFP_Tubulin_staining_041.tif	blind_0036
GTSE1(1-160)-FKBP-GFP_Tubulin_staining_042.tif	blind_0103
GTSE1(1-160)-FKBP-GFP_Tubulin_staining_043.tif	blind_0110
GTSE1(1-160)-FKBP-GFP_Tubulin_staining_044.tif	blind_0123
GTSE1(1-160)-FKBP-GFP_Tubulin_staining_045.tif	blind_0083
GTSE1(1-160)-FKBP-GFP_Tubulin_staining_046.tif	blind_0129
GTSE1(1-354)-FKBP-GFP_Tubulin_staining_058.tif	blind_0030
GTSE1(1-354)-FKBP-GFP_Tubulin_staining_059.tif	blind_0078
GTSE1(1-354)-FKBP-GFP_Tubulin_staining_062.tif	blind_0108
GTSE1(1-354)-FKBP-GFP_Tubulin_staining_063.tif	blind_0073
GTSE1(1-354)-FKBP-GFP_Tubulin_staining_064.tif	blind_0005
GTSE1(1-354)-FKBP-GFP_Tubulin_staining_065.tif	blind_0004
GTSE1(1-354)-FKBP-GFP_Tubulin_staining_066.tif	blind_0012
GTSE1(1-354)-FKBP-GFP_Tubulin_staining_067.tif	blind_0089
GTSE1(1-354)-FKBP-GFP_Tubulin_staining_069.tif	blind_0007
GTSE1(161-720)-FKBP-GFP_Tubulin_staining_047.tif	blind_0038
GTSE1(161-720)-FKBP-GFP_Tubulin_staining_048.tif	blind_0132
GTSE1(161-720)-FKBP-GFP_Tubulin_staining_049.tif	blind_0090
GTSE1(161-720)-FKBP-GFP_Tubulin_staining_050.tif	blind_0045
GTSE1(161-720)-FKBP-GFP_Tubulin_staining_051.tif	blind_0070
GTSE1(161-720)-FKBP-GFP_Tubulin_staining_052.tif	blind_0130
GTSE1(161-720)-FKBP-GFP_Tubulin_staining_053.tif	blind_0013
GTSE1(161-720)-FKBP-GFP_Tubulin_staining_054.tif	blind_0111
