Original_Name	Blinded_Name
20191129_CRISPR_CLTA-FKBP-GFP_IF_3rdctd.mvd2 - HeLa_CRISPR_CLTA-FKBP-GFP_DAPI_GFPboost_GTSE1_tubulin_control 4.tif	blind_0016
20191129_CRISPR_CLTA-FKBP-GFP_IF_3rdctd.mvd2 - HeLa_CRISPR_CLTA-FKBP-GFP_DAPI_GFPboost_GTSE1_tubulin_rapamycin.tif	blind_0054
20191129_CRISPR_CLTA-FKBP-GFP_IF_3rdctd.mvd2 - HeLa_CRISPR_CLTA-FKBP-GFP_DAPI_GFPboost_PI�KC2A_tubulin_control 3.tif	blind_0028
20191129_CRISPR_CLTA-FKBP-GFP_IF_3rdctd.mvd2 - HeLa_CRISPR_CLTA-FKBP-GFP_DAPI_GFPboost_PI�KC2A_tubulin_control 5.tif	blind_0048
20191129_CRISPR_CLTA-FKBP-GFP_IF_3rdctd.mvd2 - HeLa_CRISPR_CLTA-FKBP-GFP_DAPI_GFPboost_PI�KC2A_tubulin_rapamycin.tif	blind_0040
20191129_CRISPR_CLTA-FKBP-GFP_IF_3rdctd.mvd2 - HeLa_CRISPR_CLTA-FKBP-GFP_DAPI_GFPboost_chTOG_tubulin_control.tif	blind_0047
MAX_20191129_CRISPR_CLTA-FKBP-GFP_IF_3rd.mvd2 - HeLa_CRISPR_CLTA-FKBP-GFP_DAPI_GFPboost_CHC_tubulin_control 2.tif	blind_0041
MAX_20191129_CRISPR_CLTA-FKBP-GFP_IF_3rd.mvd2 - HeLa_CRISPR_CLTA-FKBP-GFP_DAPI_GFPboost_CHC_tubulin_control 3.tif	blind_0031
MAX_20191129_CRISPR_CLTA-FKBP-GFP_IF_3rd.mvd2 - HeLa_CRISPR_CLTA-FKBP-GFP_DAPI_GFPboost_CHC_tubulin_control.tif	blind_0015
MAX_20191129_CRISPR_CLTA-FKBP-GFP_IF_3rd.mvd2 - HeLa_CRISPR_CLTA-FKBP-GFP_DAPI_GFPboost_CHC_tubulin_rapamycin 2.tif	blind_0013
MAX_20191129_CRISPR_CLTA-FKBP-GFP_IF_3rd.mvd2 - HeLa_CRISPR_CLTA-FKBP-GFP_DAPI_GFPboost_CHC_tubulin_rapamycin 3.tif	blind_0043
MAX_20191129_CRISPR_CLTA-FKBP-GFP_IF_3rd.mvd2 - HeLa_CRISPR_CLTA-FKBP-GFP_DAPI_GFPboost_CHC_tubulin_rapamycin 4.tif	blind_0026
MAX_20191129_CRISPR_CLTA-FKBP-GFP_IF_3rd.mvd2 - HeLa_CRISPR_CLTA-FKBP-GFP_DAPI_GFPboost_CHC_tubulin_rapamycin 5.tif	blind_0021
MAX_20191129_CRISPR_CLTA-FKBP-GFP_IF_3rd.mvd2 - HeLa_CRISPR_CLTA-FKBP-GFP_DAPI_GFPboost_CHC_tubulin_rapamycin.tif	blind_0030
MAX_20191129_CRISPR_CLTA-FKBP-GFP_IF_3rd.mvd2 - HeLa_CRISPR_CLTA-FKBP-GFP_DAPI_GFPboost_TACC3_tubulin_control 2.tif	blind_0036
MAX_20191129_CRISPR_CLTA-FKBP-GFP_IF_3rd.mvd2 - HeLa_CRISPR_CLTA-FKBP-GFP_DAPI_GFPboost_TACC3_tubulin_control 3.tif	blind_0035
MAX_20191129_CRISPR_CLTA-FKBP-GFP_IF_3rd.mvd2 - HeLa_CRISPR_CLTA-FKBP-GFP_DAPI_GFPboost_TACC3_tubulin_control.tif	blind_0039
MAX_20191129_CRISPR_CLTA-FKBP-GFP_IF_3rd.mvd2 - HeLa_CRISPR_CLTA-FKBP-GFP_DAPI_GFPboost_TACC3_tubulin_rapamycin 2.tif	blind_0014
MAX_20191129_CRISPR_CLTA-FKBP-GFP_IF_3rd.mvd2 - HeLa_CRISPR_CLTA-FKBP-GFP_DAPI_GFPboost_TACC3_tubulin_rapamycin 3.tif	blind_0006
MAX_20191129_CRISPR_CLTA-FKBP-GFP_IF_3rd.mvd2 - HeLa_CRISPR_CLTA-FKBP-GFP_DAPI_GFPboost_TACC3_tubulin_rapamycin 4.tif	blind_0008
MAX_20191129_CRISPR_CLTA-FKBP-GFP_IF_3rd.mvd2 - HeLa_CRISPR_CLTA-FKBP-GFP_DAPI_GFPboost_TACC3_tubulin_rapamycin 5.tif	blind_0023
