 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,551.923,166.502,219,839,1255.109,93275.000
2,2.274,346.970,63.463,228,544,789.033,58638.000
3,2.274,181.006,24.773,132,263,411.619,30590.000
4,2.274,492.006,124.217,263,805,1118.853,83149.000
5,2.274,315.562,40.922,217,412,717.609,53330.000
6,2.274,169.515,25.559,99,255,385.488,28648.000
7,2.274,376.107,132.180,148,661,855.290,63562.000
8,2.274,258.675,38.481,164,344,588.243,43716.000
9,2.274,180.704,19.592,127,243,410.933,30539.000
10,2.274,178.817,20.871,120,229,406.640,30220.000
11,2.274,231.331,31.960,139,316,526.062,39095.000
12,2.274,233.799,23.644,161,303,531.674,39512.000
13,2.274,191.231,24.796,130,253,434.871,32318.000
14,2.274,240.769,22.893,185,304,547.525,40690.000
15,2.274,230.941,26.239,176,330,525.174,39029.000
16,2.274,149.414,17.322,112,193,339.778,25251.000
17,2.274,201.462,32.058,135,306,458.137,34047.000
18,2.274,146.515,19.724,80,202,333.184,24761.000
19,2.274,116.947,17.043,71,179,265.944,19764.000
20,2.274,118.503,18.191,52,163,269.483,20027.000
21,2.274,116.953,16.176,65,164,265.958,19765.000
