 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,419.781,60.285,246,616,954.609,70943.000
2,2.274,301.325,35.903,225,398,685.233,50924.000
3,2.274,805.609,206.258,442,1337,1832.008,136148.000
4,2.274,504.337,65.038,375,687,1146.895,85233.000
5,2.274,375.675,34.915,262,457,854.308,63489.000
6,2.274,1123.911,281.650,755,2145,2555.846,189941.000
7,2.274,459.556,61.918,318,601,1045.060,77665.000
8,2.274,348.876,38.680,238,452,793.366,58960.000
9,2.274,741.485,114.664,519,1308,1686.185,125311.000
10,2.274,164.195,24.922,98,233,373.391,27749.000
11,2.274,248.059,29.309,157,317,564.103,41922.000
12,2.274,990.787,545.690,300,2766,2253.113,167443.000
13,2.274,147.905,18.962,97,194,336.346,24996.000
14,2.274,211.071,25.916,152,288,479.989,35671.000
15,2.274,541.450,375.337,229,1855,1231.291,91505.000
16,2.274,152.544,20.141,100,200,346.896,25780.000
17,2.274,227.402,27.282,158,293,517.128,38431.000
18,2.274,655.911,129.380,418,1007,1491.584,110849.000
19,2.274,116.746,16.593,67,161,265.487,19730.000
20,2.274,120.361,17.231,81,177,273.709,20341.000
21,2.274,146.438,17.909,99,191,333.009,24748.000
