 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,723.296,144.699,322,1005,1644.821,122237.000
2,2.274,317.870,35.054,238,403,722.856,53720.000
3,2.274,853.645,76.743,712,1084,1941.244,144266.000
4,2.274,804.000,128.940,416,1062,1828.348,135876.000
5,2.274,330.580,33.369,225,403,751.760,55868.000
6,2.274,883.142,64.070,719,1026,2008.322,149251.000
7,2.274,822.959,103.568,619,1093,1871.461,139080.000
8,2.274,411.036,42.107,292,506,934.721,69465.000
9,2.274,1058.053,67.910,859,1261,2406.081,178811.000
10,2.274,254.515,34.220,169,355,578.783,43013.000
11,2.274,240.444,26.836,174,325,546.785,40635.000
12,2.274,686.680,48.473,544,864,1561.556,116049.000
13,2.274,223.645,26.172,142,292,508.583,37796.000
14,2.274,229.864,25.413,173,303,522.725,38847.000
15,2.274,654.515,53.283,529,845,1488.409,110613.000
16,2.274,171.728,22.307,115,220,390.520,29022.000
17,2.274,189.609,24.067,116,256,431.184,32044.000
18,2.274,555.598,56.899,424,691,1263.465,93896.000
19,2.274,112.485,16.052,62,161,255.799,19010.000
20,2.274,111.479,15.790,68,167,253.511,18840.000
21,2.274,137.533,17.468,92,179,312.758,23243.000
