 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,370.503,37.507,284,461,842.548,62615.000
2,2.274,767.828,68.619,608,931,1746.091,129763.000
3,2.274,552.692,57.230,408,728,1256.858,93405.000
4,2.274,347.290,62.152,217,500,789.760,58692.000
5,2.274,924.036,190.837,576,1361,2101.316,156162.000
6,2.274,373.657,53.544,227,518,849.720,63148.000
7,2.274,308.467,73.606,174,483,701.475,52131.000
8,2.274,782.503,171.161,444,1215,1779.462,132243.000
9,2.274,266.296,42.004,180,356,605.574,45004.000
10,2.274,145.947,19.327,99,214,331.892,24665.000
11,2.274,433.473,54.409,309,607,985.746,73257.000
12,2.274,791.817,106.954,497,1093,1800.642,133817.000
13,2.274,159.284,22.340,97,209,362.222,26919.000
14,2.274,611.213,103.900,409,980,1389.938,103295.000
15,2.274,694.243,70.456,554,866,1578.752,117327.000
16,2.274,154.822,19.988,105,203,352.076,26165.000
17,2.274,696.118,228.152,341,1340,1583.018,117644.000
18,2.274,546.556,90.437,351,815,1242.904,92368.000
19,2.274,114.065,17.260,62,163,259.391,19277.000
20,2.274,166.935,19.569,117,216,379.621,28212.000
21,2.274,137.030,17.551,62,191,311.614,23158.000
