 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.492,1603.287,81.829,1338,1864,3994.755,1938374.000
2,1.583,3806.219,573.625,2961,5249,6024.313,2923176.000
3,1.583,2378.586,108.445,2072,2762,3764.719,1826754.000
4,1.583,2635.829,189.722,2178,3124,4171.873,2024317.000
5,184.626,2636.100,460.593,1673,5249,486692.461,236157680.000
6,2.492,662.314,57.982,499,854,1650.224,800738.000
7,1.583,3219.427,209.603,2712,3796,5095.565,2472520.000
8,1.583,1906.924,100.006,1626,2319,3018.195,1464518.000
9,1.583,2027.318,149.258,1666,2453,3208.748,1556980.000
10,184.626,2148.617,530.545,846,3884,396690.400,192485999.000
