file,type,time,measure
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_mCHLCa_018.nd2-01.tif,spindle green,0,2452.7604
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_mCHLCa_018.nd2-01.tif,cyto green,0,796.1862
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_mCHLCa_018.nd2-01.tif,mito green,0,1203.888
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_mCHLCa_018.nd2-01.tif,cell green,0,1153.2641
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_mCHLCa_018.nd2-01.tif,spindle red,0,1614.3495
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_mCHLCa_018.nd2-01.tif,cyto red,0,768.3756
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_mCHLCa_018.nd2-01.tif,mito red,0,1030.2753
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_mCHLCa_018.nd2-01.tif,cell red,0,977.6574
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_mCHLCa_018.nd2-14.tif,spindle green,1,1028.902
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_mCHLCa_018.nd2-14.tif,cyto green,1,394.9424
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_mCHLCa_018.nd2-14.tif,mito green,1,733.9007
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_mCHLCa_018.nd2-14.tif,cell green,1,563.8471
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_mCHLCa_018.nd2-14.tif,spindle red,1,1310.2894
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_mCHLCa_018.nd2-14.tif,cyto red,1,707.016
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_mCHLCa_018.nd2-14.tif,mito red,1,1135.279
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_mCHLCa_018.nd2-14.tif,cell red,1,883.9849
