 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,3.003,1829.379,88.469,1557,2124,5493.078,2665405
2,1.583,4660.210,563.187,3428,6097,7375.971,3579041
3,1.583,2736.331,211.464,2193,3264,4330.942,2101502
4,1.583,2860.755,162.774,2416,3357,4527.875,2197060
5,191.827,2937.798,554.332,1666,6097,563547.896,273450226
6,3.003,562.243,47.669,408,739,1688.248,819188
7,1.583,3401.323,204.044,2741,3918,5383.462,2612216
8,1.583,1951.818,154.140,1571,2326,3089.250,1498996
9,1.583,2030.155,145.697,1588,2400,3213.238,1559159
10,191.827,2082.490,497.136,843,4007,399477.053,193838166
