 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,16.029,1757.820,89.842,1495,2105,28176.205,4921896.000
2,4.397,5007.973,272.408,4257,5739,22017.765,3846123.000
3,4.397,3088.866,117.085,2753,3428,13580.330,2372249.000
4,4.397,3021.932,217.734,2500,3565,13286.054,2320844.000
5,547.610,3105.802,613.971,1925,5739,1700768.425,297094852.000
6,16.029,351.613,39.883,215,500,5636.030,984517.000
7,4.397,1044.247,73.597,794,1250,4591.078,801982.000
8,4.397,730.014,53.039,580,926,3209.539,560651.000
9,4.397,679.010,67.293,472,893,2985.298,521480.000
10,547.610,699.981,133.438,283,1267,383316.670,66958798.000
