 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.652,1396.566,74.772,1149,1653,3704.185,1797381
2,1.583,3535.230,445.797,2302,4435,5595.405,2715057
3,1.583,1711.596,104.674,1453,2018,2709.038,1314506
4,1.558,1754.029,92.481,1464,2036,2732.821,1326046
5,128.906,2039.932,649.809,1290,4695,262959.322,127595696
6,2.652,397.188,38.926,260,515,1053.482,511181
7,1.583,5186.533,975.693,2331,6945,8209.012,3983257
8,1.583,933.146,140.044,652,1415,1476.941,716656
9,1.558,931.933,70.410,740,1200,1451.974,704541
10,128.906,1744.136,1478.633,460,7672,224829.540,109093990
