file,type,time,measure
HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 (series 2)-01.tif,spindle green,0,5508.5093
HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 (series 2)-01.tif,cyto green,0,346.9286
HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 (series 2)-01.tif,mito green,0,236.827
HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 (series 2)-01.tif,cell green,0,682.02
HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 (series 2)-01.tif,spindle red,0,5692.9702
HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 (series 2)-01.tif,cyto red,0,283.6954
HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 (series 2)-01.tif,mito red,0,134.7657
HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 (series 2)-01.tif,cell red,0,600.0525
HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 (series 2)-16.tif,spindle green,1,2748.8416
HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 (series 2)-16.tif,cyto green,1,204.0343
HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 (series 2)-16.tif,mito green,1,241.6984
HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 (series 2)-16.tif,cell green,1,379.5371
HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 (series 2)-16.tif,spindle red,1,4758.0987
HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 (series 2)-16.tif,cyto red,1,289.531
HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 (series 2)-16.tif,mito red,1,144.3018
HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_TACC3_011.nd2 (series 2)-16.tif,cell red,1,586.3884
