 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.127,1843.211,84.930,1543,2206,3920.192,1902194
2,1.583,3812.691,287.543,3212,5023,6034.557,2928147
3,1.583,2324.997,104.691,2031,2606,3679.902,1785598
4,1.583,2290.232,113.210,1926,2661,3624.876,1758898
5,184.587,2477.574,432.503,1692,5023,457327.370,221908863
6,2.127,473.587,44.299,342,615,1007.238,488742
7,1.583,1357.439,105.604,1072,1702,2148.493,1042513
8,1.583,608.453,55.799,446,797,963.032,467292
9,1.583,701.613,97.995,465,952,1110.482,538839
10,184.587,725.691,214.322,352,1939,133953.048,64998009
