file,type,time,measure
HeLa_chTOG-FKBP-GFP_darkmitotrap_tub-TACC3_010.nd2-02.tif,spindle green,0,1969.4802
HeLa_chTOG-FKBP-GFP_darkmitotrap_tub-TACC3_010.nd2-02.tif,cyto green,0,481.7862
HeLa_chTOG-FKBP-GFP_darkmitotrap_tub-TACC3_010.nd2-02.tif,mito green,0,447.0205
HeLa_chTOG-FKBP-GFP_darkmitotrap_tub-TACC3_010.nd2-02.tif,cell green,0,634.3627
HeLa_chTOG-FKBP-GFP_darkmitotrap_tub-TACC3_010.nd2-02.tif,spindle red,0,883.8516
HeLa_chTOG-FKBP-GFP_darkmitotrap_tub-TACC3_010.nd2-02.tif,cyto red,0,134.8659
HeLa_chTOG-FKBP-GFP_darkmitotrap_tub-TACC3_010.nd2-02.tif,mito red,0,228.0261
HeLa_chTOG-FKBP-GFP_darkmitotrap_tub-TACC3_010.nd2-02.tif,cell red,0,252.1043
HeLa_chTOG-FKBP-GFP_darkmitotrap_tub-TACC3_010.nd2-16.tif,spindle green,1,962.901
HeLa_chTOG-FKBP-GFP_darkmitotrap_tub-TACC3_010.nd2-16.tif,cyto green,1,383.9374
HeLa_chTOG-FKBP-GFP_darkmitotrap_tub-TACC3_010.nd2-16.tif,mito green,1,372.1262
HeLa_chTOG-FKBP-GFP_darkmitotrap_tub-TACC3_010.nd2-16.tif,cell green,1,401.8221
HeLa_chTOG-FKBP-GFP_darkmitotrap_tub-TACC3_010.nd2-16.tif,spindle red,1,602.6448
HeLa_chTOG-FKBP-GFP_darkmitotrap_tub-TACC3_010.nd2-16.tif,cyto red,1,81.0732
HeLa_chTOG-FKBP-GFP_darkmitotrap_tub-TACC3_010.nd2-16.tif,mito red,1,225.288
HeLa_chTOG-FKBP-GFP_darkmitotrap_tub-TACC3_010.nd2-16.tif,cell red,1,166.5659
