file,type,time,measure
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_mChchTOG_016.nd2-01.tif,spindle green,0,2745.8467
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_mChchTOG_016.nd2-01.tif,cyto green,0,1440.1983
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_mChchTOG_016.nd2-01.tif,mito green,0,1630.279
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_mChchTOG_016.nd2-01.tif,cell green,0,1739.8386
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_mChchTOG_016.nd2-01.tif,spindle red,0,970.5507
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_mChchTOG_016.nd2-01.tif,cyto red,0,511.0065
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_mChchTOG_016.nd2-01.tif,mito red,0,671.9453
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_mChchTOG_016.nd2-01.tif,cell red,0,698.0112
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_mChchTOG_016.nd2-84.tif,spindle green,1,1267.7327
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_mChchTOG_016.nd2-84.tif,cyto green,1,923.7874
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_mChchTOG_016.nd2-84.tif,mito green,1,2582.7626
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_mChchTOG_016.nd2-84.tif,cell green,1,1373.4734
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_mChchTOG_016.nd2-84.tif,spindle red,1,328.8322
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_mChchTOG_016.nd2-84.tif,cyto red,1,186.3908
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_mChchTOG_016.nd2-84.tif,mito red,1,379.3647
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_mChchTOG_016.nd2-84.tif,cell red,1,280.2881
