 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,3.527,675.687,52.682,495,845,2383.231,1158804
2,1.579,2649.523,150.975,2154,3233,4184.901,2034834
3,1.579,1471.496,157.168,1118,1888,2324.216,1130109
4,1.579,2644.880,639.489,1523,4133,4177.567,2031268
5,197.124,2114.960,580.493,841,4831,416909.179,202714719
6,3.527,957.233,69.205,731,1170,3376.277,1641655
7,1.579,1596.292,88.913,1361,1783,2521.330,1225952
8,1.579,1413.370,105.792,1124,1776,2232.406,1085468
9,1.579,1457.161,146.629,1172,1791,2301.575,1119100
10,197.124,1434.793,154.846,828,2043,282831.886,137522005
