file,type,time,measure
HeLa_CRISPR_CLTA-FKBP-GFP_darkmito_chTOGmCH_003.nd2-02.tif,spindle green,0,2386.0442
HeLa_CRISPR_CLTA-FKBP-GFP_darkmito_chTOGmCH_003.nd2-02.tif,cyto green,0,1333.1314
HeLa_CRISPR_CLTA-FKBP-GFP_darkmito_chTOGmCH_003.nd2-02.tif,mito green,0,1707.0611
HeLa_CRISPR_CLTA-FKBP-GFP_darkmito_chTOGmCH_003.nd2-02.tif,cell green,0,1629.8301
HeLa_CRISPR_CLTA-FKBP-GFP_darkmito_chTOGmCH_003.nd2-02.tif,spindle red,0,600.256
HeLa_CRISPR_CLTA-FKBP-GFP_darkmito_chTOGmCH_003.nd2-02.tif,cyto red,0,380.3055
HeLa_CRISPR_CLTA-FKBP-GFP_darkmito_chTOGmCH_003.nd2-02.tif,mito red,0,469.3953
HeLa_CRISPR_CLTA-FKBP-GFP_darkmito_chTOGmCH_003.nd2-02.tif,cell red,0,425.39
HeLa_CRISPR_CLTA-FKBP-GFP_darkmito_chTOGmCH_003.nd2-66.tif,spindle green,1,1087.7092
HeLa_CRISPR_CLTA-FKBP-GFP_darkmito_chTOGmCH_003.nd2-66.tif,cyto green,1,896.4735
HeLa_CRISPR_CLTA-FKBP-GFP_darkmito_chTOGmCH_003.nd2-66.tif,mito green,1,1785.0112
HeLa_CRISPR_CLTA-FKBP-GFP_darkmito_chTOGmCH_003.nd2-66.tif,cell green,1,1183.5864
HeLa_CRISPR_CLTA-FKBP-GFP_darkmito_chTOGmCH_003.nd2-66.tif,spindle red,1,312.7229
HeLa_CRISPR_CLTA-FKBP-GFP_darkmito_chTOGmCH_003.nd2-66.tif,cyto red,1,221.8206
HeLa_CRISPR_CLTA-FKBP-GFP_darkmito_chTOGmCH_003.nd2-66.tif,mito red,1,349.3531
HeLa_CRISPR_CLTA-FKBP-GFP_darkmito_chTOGmCH_003.nd2-66.tif,cell red,1,257.344
