 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,5.719,947.244,64.569,737,1178,5417.233,946297
2,4.397,4326.195,289.771,3685,5292,19020.302,3322518
3,4.397,3792.312,217.784,3223,4490,16673.063,2912496
4,4.397,5146.234,1234.902,3497,8832,22625.638,3952308
5,476.859,4060.980,748.585,1887,8832,1936514.298,338275582
6,5.719,2167.498,91.047,1891,2484,12395.794,2165331
7,4.397,3180.613,157.772,2660,3680,13983.702,2442711
8,4.397,2917.621,123.939,2451,3311,12827.445,2240733
9,4.397,2940.281,190.114,2449,3624,12927.072,2258136
10,476.859,2933.967,231.945,2074,4391,1399088.205,244396531
