file,type,time,measure
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_tdTomGTSE1_014.nd2-13.tif,spindle green,0,2872.0201
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_tdTomGTSE1_014.nd2-13.tif,cyto green,0,1719.3898
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_tdTomGTSE1_014.nd2-13.tif,mito green,0,1975.024
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_tdTomGTSE1_014.nd2-13.tif,cell green,0,1814.7427
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_tdTomGTSE1_014.nd2-13.tif,spindle red,0,3138.5688
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_tdTomGTSE1_014.nd2-13.tif,cyto red,0,2155.5701
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_tdTomGTSE1_014.nd2-13.tif,mito red,0,2462.1027
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_tdTomGTSE1_014.nd2-13.tif,cell red,0,2240.6221
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_tdTomGTSE1_014.nd2-52.tif,spindle green,1,1936.8293
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_tdTomGTSE1_014.nd2-52.tif,cyto green,1,1098.4491
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_tdTomGTSE1_014.nd2-52.tif,mito green,1,2718.9933
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_tdTomGTSE1_014.nd2-52.tif,cell green,1,1641.5385
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_tdTomGTSE1_014.nd2-52.tif,spindle red,1,2234.7283
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_tdTomGTSE1_014.nd2-52.tif,cyto red,1,1369.9301
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_tdTomGTSE1_014.nd2-52.tif,mito red,1,2147.4171
HeLa_CRIPSR_CLTA-FKBP-GFP_darkmitotrap_tdTomGTSE1_014.nd2-52.tif,cell red,1,1746.0467
