 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,9.789,1952.998,89.468,1612,2262,19118.245,3339627
2,4.397,4860.124,383.943,4024,5875,21367.741,3732575
3,4.397,2934.142,554.122,2113,4071,12900.080,2253421
4,4.397,6033.326,654.209,4397,8269,26525.772,4633594
5,484.679,4011.571,1132.333,1862,8506,1944323.016,339639630
6,9.789,413.572,48.242,257,574,4048.529,707208
7,4.397,1758.974,171.619,1400,2223,7733.404,1350892
8,4.397,1082.868,94.654,802,1371,4760.877,831643
9,4.397,1818.292,199.201,1314,2436,7994.197,1396448
10,484.679,1433.072,377.766,510,2695,694579.413,121331020
