 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,4.081,1029.998,70.279,780,1244,4202.951,2039397
2,1.566,5569.247,755.199,4079,7849,8722.935,4232628
3,1.583,1409.560,100.148,1130,1762,2230.988,1082542
4,1.583,2210.111,489.876,1399,3735,3498.064,1697365
5,182.312,2010.167,985.743,841,9771,366476.753,177825437
6,4.081,500.673,44.205,333,661,2043.016,991332
7,1.566,3062.628,363.268,2174,4054,4796.896,2327597
8,1.583,818.212,67.221,584,1021,1295.030,628387
9,1.583,1218.910,268.845,724,1958,1929.236,936123
10,182.312,1234.976,563.833,464,4811,225150.406,109249684
