file,type,time,measure
HeLa_CRISPR_CTLA-FKBP-GFP_DarkMito_mCHTACC3_004.nd2-01.tif,spindle green,0,13746.0448
HeLa_CRISPR_CTLA-FKBP-GFP_DarkMito_mCHTACC3_004.nd2-01.tif,cyto green,0,138.6594
HeLa_CRISPR_CTLA-FKBP-GFP_DarkMito_mCHTACC3_004.nd2-01.tif,mito green,0,1575.4042
HeLa_CRISPR_CTLA-FKBP-GFP_DarkMito_mCHTACC3_004.nd2-01.tif,cell green,0,1953.9549
HeLa_CRISPR_CTLA-FKBP-GFP_DarkMito_mCHTACC3_004.nd2-01.tif,spindle red,0,10113.7268
HeLa_CRISPR_CTLA-FKBP-GFP_DarkMito_mCHTACC3_004.nd2-01.tif,cyto red,0,-1359.393
HeLa_CRISPR_CTLA-FKBP-GFP_DarkMito_mCHTACC3_004.nd2-01.tif,mito red,0,1745.0744
HeLa_CRISPR_CTLA-FKBP-GFP_DarkMito_mCHTACC3_004.nd2-01.tif,cell red,0,439.9933
HeLa_CRISPR_CTLA-FKBP-GFP_DarkMito_mCHTACC3_004.nd2-66.tif,spindle green,1,4462.7888
HeLa_CRISPR_CTLA-FKBP-GFP_DarkMito_mCHTACC3_004.nd2-66.tif,cyto green,1,134.3096
HeLa_CRISPR_CTLA-FKBP-GFP_DarkMito_mCHTACC3_004.nd2-66.tif,mito green,1,2183.5335
HeLa_CRISPR_CTLA-FKBP-GFP_DarkMito_mCHTACC3_004.nd2-66.tif,cell green,1,990.2478
HeLa_CRISPR_CTLA-FKBP-GFP_DarkMito_mCHTACC3_004.nd2-66.tif,spindle red,1,-750.8411
HeLa_CRISPR_CTLA-FKBP-GFP_DarkMito_mCHTACC3_004.nd2-66.tif,cyto red,1,-5266.8801
HeLa_CRISPR_CTLA-FKBP-GFP_DarkMito_mCHTACC3_004.nd2-66.tif,mito red,1,-2280.095
HeLa_CRISPR_CTLA-FKBP-GFP_DarkMito_mCHTACC3_004.nd2-66.tif,cell red,1,-4060.2751
