 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,6.211,973.424,71.052,780,1252,6046.191,1056165.000
2,4.397,5733.500,769.535,4005,7711,25207.577,4403328.000
3,4.397,1697.081,91.596,1402,1971,7461.288,1303358.000
4,4.397,2278.707,238.062,1721,3029,10018.432,1750047.000
5,544.433,2140.098,880.296,1209,7711,1165139.321,203529704.000
6,6.211,429.558,42.654,287,571,2668.094,466070.000
7,4.397,2206.267,323.992,1520,2989,9699.946,1694413.000
8,4.397,606.155,62.352,446,845,2664.986,465527.000
9,4.397,831.978,107.050,565,1249,3657.826,638959.000
10,544.433,766.181,344.819,334,2989,417134.200,72866136.000
