file,type,time,measure
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd...KBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd2 (series 2)-02.tif,spindle green,0,1004.0465
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd...KBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd2 (series 2)-02.tif,cyto green,0,241.5348
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd...KBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd2 (series 2)-02.tif,mito green,0,362.3134
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd...KBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd2 (series 2)-02.tif,cell green,0,373.9238
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd...KBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd2 (series 2)-02.tif,spindle red,0,324.9353
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd...KBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd2 (series 2)-02.tif,cyto red,0,8.0746
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd...KBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd2 (series 2)-02.tif,mito red,0,53.6775
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd...KBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd2 (series 2)-02.tif,cell red,0,77.8785
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd...KBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd2 (series 2)-14.tif,spindle green,1,486.6186
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd...KBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd2 (series 2)-14.tif,cyto green,1,185.7853
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd...KBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd2 (series 2)-14.tif,mito green,1,616.3361
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd...KBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd2 (series 2)-14.tif,cell green,1,340.3287
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd...KBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd2 (series 2)-14.tif,spindle red,1,202.1471
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd...KBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd2 (series 2)-14.tif,cyto red,1,77.1289
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd...KBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd2 (series 2)-14.tif,mito red,1,126.1653
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd...KBP-GFP_darkMitotrap_mCherrychtog_rapa30sec_019.nd2 (series 2)-14.tif,cell red,1,99.2209
