 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,12.915,551.069,45.458,404,716,7116.966,1243211
2,4.397,952.699,86.044,710,1216,4188.583,731673
3,4.397,932.568,81.164,707,1216,4100.074,716212
4,4.397,1562.361,429.833,897,2904,6868.985,1199893
5,525.982,977.951,199.547,538,4377,514384.822,89854139
6,12.915,1902.249,87.768,1608,2257,24567.250,4291474
7,4.397,3065.031,122.295,2659,3425,13475.540,2353944
8,4.397,2797.749,103.453,2475,3113,12300.421,2148671
9,4.397,3132.837,230.928,2577,3773,13773.652,2406019
10,525.982,2867.843,250.851,2045,4960,1508434.459,263497432
