file,type,time,measure
HeLa_FKBP-GFP-TACC3_darkmito_chTOGmCherry_005.nd2-01.tif,spindle green,0,1531.4529
HeLa_FKBP-GFP-TACC3_darkmito_chTOGmCherry_005.nd2-01.tif,cyto green,0,294.6027
HeLa_FKBP-GFP-TACC3_darkmito_chTOGmCherry_005.nd2-01.tif,mito green,0,492.7212
HeLa_FKBP-GFP-TACC3_darkmito_chTOGmCherry_005.nd2-01.tif,cell green,0,450.259
HeLa_FKBP-GFP-TACC3_darkmito_chTOGmCherry_005.nd2-01.tif,spindle red,0,3547.7428
HeLa_FKBP-GFP-TACC3_darkmito_chTOGmCherry_005.nd2-01.tif,cyto red,0,1868.3965
HeLa_FKBP-GFP-TACC3_darkmito_chTOGmCherry_005.nd2-01.tif,mito red,0,2436.5228
HeLa_FKBP-GFP-TACC3_darkmito_chTOGmCherry_005.nd2-01.tif,cell red,0,2136.2755
HeLa_FKBP-GFP-TACC3_darkmito_chTOGmCherry_005.nd2-16.tif,spindle green,1,401.6305
HeLa_FKBP-GFP-TACC3_darkmito_chTOGmCherry_005.nd2-16.tif,cyto green,1,381.499
HeLa_FKBP-GFP-TACC3_darkmito_chTOGmCherry_005.nd2-16.tif,mito green,1,1011.292
HeLa_FKBP-GFP-TACC3_darkmito_chTOGmCherry_005.nd2-16.tif,cell green,1,426.8823
HeLa_FKBP-GFP-TACC3_darkmito_chTOGmCherry_005.nd2-16.tif,spindle red,1,1162.7821
HeLa_FKBP-GFP-TACC3_darkmito_chTOGmCherry_005.nd2-16.tif,cyto red,1,895.4996
HeLa_FKBP-GFP-TACC3_darkmito_chTOGmCherry_005.nd2-16.tif,mito red,1,1230.5881
HeLa_FKBP-GFP-TACC3_darkmito_chTOGmCherry_005.nd2-16.tif,cell red,1,965.5941
