 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,6.228,611.469,49.087,473,787,3808.494,665278.000
2,4.397,2716.099,243.105,2213,3557,11941.445,2085964.000
3,4.397,1019.350,77.801,776,1290,4481.617,782861.000
4,4.397,1266.938,177.652,861,1853,5570.145,973008.000
5,324.898,1465.325,648.800,606,3597,476080.769,83163083.000
6,6.228,1024.299,64.209,829,1277,6379.778,1114437.000
7,4.397,2591.520,140.385,2152,2987,11393.726,1990287.000
8,4.397,1861.055,129.311,1544,2295,8182.206,1429290.000
9,4.397,2042.060,153.012,1625,2444,8978.003,1568302.000
10,324.898,2050.853,330.872,1178,3061,666317.344,116394125.000
