file,type,time,measure
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 ...-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 (series 3)-03.tif,spindle green,0,1688.554
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 ...-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 (series 3)-03.tif,cyto green,0,695.4003
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 ...-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 (series 3)-03.tif,mito green,0,775.149
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 ...-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 (series 3)-03.tif,cell green,0,940.2774
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 ...-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 (series 3)-03.tif,spindle red,0,5045.9078
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 ...-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 (series 3)-03.tif,cyto red,0,3878.314
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 ...-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 (series 3)-03.tif,mito red,0,4343.1252
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 ...-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 (series 3)-03.tif,cell red,0,4030.7732
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 ...-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 (series 3)-30.tif,spindle green,1,858.5095
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 ...-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 (series 3)-30.tif,cyto green,1,627.8871
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 ...-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 (series 3)-30.tif,mito green,1,1708.1449
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 ...-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 (series 3)-30.tif,cell green,1,802.6414
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 ...-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 (series 3)-30.tif,spindle red,1,3951.1455
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 ...-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 (series 3)-30.tif,cyto red,1,3234.4841
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 ...-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 (series 3)-30.tif,mito red,1,3315.9203
HeLa_TACC3-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 ...-FKBP-GFP_darkMitotrap_mCherryLCa_rapa30sec_007.nd2 (series 3)-30.tif,cell red,1,3135.9111
