 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,7.814,598.997,47.287,450,766,4680.663,817631
2,4.397,2049.441,358.227,1451,2883,9010.456,1573971
3,4.397,986.212,97.598,736,1323,4335.924,757411
4,4.397,908.495,109.112,658,1283,3994.236,697724
5,385.035,1174.044,440.806,531,2915,452048.449,78965052
6,7.814,813.412,71.285,606,1107,6356.141,1110308
7,4.397,3156.341,271.788,2461,3845,13876.988,2424070
8,4.397,2441.362,193.271,1926,2894,10733.552,1874966
9,4.397,2271.914,270.838,1534,2806,9988.567,1744830
10,385.035,2558.891,464.183,1395,3981,985263.313,172108474
