file,type,time,measure
HeLa_TACC3-FKBP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.n...BP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.nd2 (series 1)-02.tif,spindle green,0,1898.1197
HeLa_TACC3-FKBP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.n...BP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.nd2 (series 1)-02.tif,cyto green,0,382.0455
HeLa_TACC3-FKBP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.n...BP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.nd2 (series 1)-02.tif,mito green,0,479.1418
HeLa_TACC3-FKBP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.n...BP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.nd2 (series 1)-02.tif,cell green,0,803.8953
HeLa_TACC3-FKBP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.n...BP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.nd2 (series 1)-02.tif,spindle red,0,892.4921
HeLa_TACC3-FKBP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.n...BP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.nd2 (series 1)-02.tif,cyto red,0,681.526
HeLa_TACC3-FKBP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.n...BP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.nd2 (series 1)-02.tif,mito red,0,675.6276
HeLa_TACC3-FKBP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.n...BP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.nd2 (series 1)-02.tif,cell red,0,685.9248
HeLa_TACC3-FKBP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.n...BP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.nd2 (series 1)-24.tif,spindle green,1,887.2531
HeLa_TACC3-FKBP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.n...BP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.nd2 (series 1)-24.tif,cyto green,1,429.5539
HeLa_TACC3-FKBP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.n...BP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.nd2 (series 1)-24.tif,mito green,1,901.4784
HeLa_TACC3-FKBP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.n...BP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.nd2 (series 1)-24.tif,cell green,1,646.3441
HeLa_TACC3-FKBP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.n...BP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.nd2 (series 1)-24.tif,spindle red,1,650.8189
HeLa_TACC3-FKBP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.n...BP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.nd2 (series 1)-24.tif,cyto red,1,565.6457
HeLa_TACC3-FKBP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.n...BP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.nd2 (series 1)-24.tif,mito red,1,504.2876
HeLa_TACC3-FKBP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.n...BP-GFP_darkMitotrap_tdTomatoGTSE1_rapa30sec_009.nd2 (series 1)-24.tif,cell red,1,529.3074
