 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,14.586,553.958,47.214,404,709,8080.278,1411485.000
2,4.397,1158.980,74.309,932,1378,5095.507,890097.000
3,4.397,994.609,69.995,797,1303,4372.842,763860.000
4,4.397,1180.574,138.582,893,1571,5190.445,906681.000
5,447.131,1053.743,150.625,550,2621,471160.849,82303658.000
6,14.586,485.022,46.248,335,651,7074.753,1235837.000
7,4.397,1388.853,80.649,1172,1677,6106.151,1066639.000
8,4.397,1183.159,74.551,969,1423,5201.808,908666.000
9,4.397,1228.951,78.846,1017,1472,5403.133,943834.000
10,447.131,1185.133,171.580,584,1711,529909.386,92566012.000
