 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,8.369,834.709,59.339,650,1061,6986.066,1220345
2,4.397,2699.280,159.149,2249,3306,11867.499,2073047
3,4.397,1727.286,156.079,1331,2192,7594.088,1326556
4,4.397,2822.797,301.437,2206,3554,12410.546,2167908
5,422.858,2157.159,505.287,1013,4297,912171.985,159340682
6,8.369,1071.557,121.579,726,1411,8968.351,1566616
7,4.397,7169.534,225.319,6332,7839,31521.160,5506202
8,4.397,4986.397,482.811,3781,6030,21922.907,3829553
9,4.397,6266.862,475.376,5073,7329,27552.525,4812950
10,422.858,5646.844,1122.951,2488,8211,2387813.630,417109776
