 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,7.934,914.509,59.535,704,1096,7256.064,1267509.000
2,4.397,1763.648,117.170,1414,2108,7753.955,1354482.000
3,4.397,1375.757,125.706,1031,1742,6048.572,1056581.000
4,4.397,1533.160,294.901,1020,2544,6740.604,1177467.000
5,709.355,1494.429,245.497,879,4847,1060080.091,185177672.000
6,7.934,2093.886,107.747,1789,2525,16613.698,2902126.000
7,4.397,6026.219,241.789,5106,6542,26494.527,4628136.000
8,4.397,4816.749,468.655,3643,5580,21177.040,3699263.000
9,4.397,4624.957,707.131,3536,6138,20333.820,3551967.000
10,709.355,5004.715,635.828,2792,7211,3550118.085,620144278.000
