 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,45.605,251.540,22.558,186,342,11471.536,953841
2,9.236,725.337,43.637,616,861,6699.568,557059
3,9.236,696.293,71.611,506,880,6431.301,534753
4,9.236,946.987,100.745,609,1206,8746.832,727286
5,381.967,728.680,159.313,292,1225,278331.716,23142865
6,45.605,367.458,22.309,288,454,16757.969,1393400
7,9.236,677.548,31.786,574,777,6258.165,520357
8,9.236,566.542,55.344,428,722,5232.854,435104
9,9.236,549.184,38.123,435,667,5072.527,421773
10,381.967,567.021,80.023,352,828,216583.543,18008597
