 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,43.982,288.108,20.967,217,354,12671.437,1053611.000
2,9.236,1200.690,62.339,1061,1401,11090.158,922130.000
3,9.116,774.479,119.405,553,1039,7060.320,587055.000
4,9.236,854.053,66.637,658,1025,7888.452,655913.000
5,405.143,893.681,190.860,373,1401,362068.210,30105429.000
6,43.982,317.238,25.658,231,424,13952.615,1160139.000
7,9.236,1718.267,63.133,1509,1889,15870.749,1319629.000
8,9.116,1172.086,143.813,841,1481,10684.991,888441.000
9,9.236,1221.398,91.304,954,1507,11281.430,938034.000
10,405.143,1233.639,290.227,500,1896,499799.773,41557602.000
