 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,34.252,224.703,16.174,175,287,7696.519,639954
2,9.236,469.844,29.734,388,583,4339.705,360840
3,9.236,405.551,48.560,273,521,3745.864,311463
4,9.236,600.245,45.539,471,731,5544.153,460988
5,404.589,487.693,89.793,251,839,197315.403,16406480
6,34.252,296.871,18.973,240,364,10168.421,845489
7,9.236,475.514,28.291,377,574,4392.082,365195
8,9.236,396.882,38.186,302,529,3665.791,304805
9,9.236,403.315,30.585,321,511,3725.214,309746
10,404.589,414.534,49.214,272,598,167716.036,13945337
