 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,21.215,575.142,35.321,475,714,12201.663,1014550
2,9.236,1096.704,59.717,909,1297,10129.696,842269
3,9.236,1048.211,65.390,878,1289,9681.786,805026
4,9.236,1338.262,128.912,1047,1756,12360.836,1027785
5,424.349,1142.191,149.914,672,1756,484687.991,40301080
6,21.215,407.504,29.193,312,512,8645.219,718837
7,9.236,831.202,40.328,707,983,7677.384,638363
8,9.236,625.107,36.465,529,737,5773.790,480082
9,9.236,636.030,40.799,517,781,5874.682,488471
10,424.349,654.453,104.537,388,1212,277716.407,23091703
