 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,77.933,276.344,20.404,216,359,21536.275,1790709
2,9.236,708.850,46.000,577,870,6547.286,544397
3,9.236,490.737,48.397,369,642,4532.685,376886
4,9.236,1060.197,86.207,854,1295,9792.492,814231
5,413.357,692.900,207.259,287,1377,286415.145,23814990
6,77.933,457.573,36.391,344,627,35659.933,2965070
7,9.236,1523.323,60.343,1313,1700,14070.151,1169912
8,9.236,993.112,91.420,755,1247,9172.865,762710
9,9.236,1084.174,71.329,878,1287,10013.963,832646
10,413.357,1128.462,240.173,556,1748,466457.572,38785248
