file,type,time,measure
HeLa_GTSE1-FKBP-GFP_darkMitotrap_chTOGmCherry_rapa30sec_013.nd2-06.tif,spindle green,0,1965.3983
HeLa_GTSE1-FKBP-GFP_darkMitotrap_chTOGmCherry_rapa30sec_013.nd2-06.tif,cyto green,0,1620.0819
HeLa_GTSE1-FKBP-GFP_darkMitotrap_chTOGmCherry_rapa30sec_013.nd2-06.tif,mito green,0,1441.9908
HeLa_GTSE1-FKBP-GFP_darkMitotrap_chTOGmCherry_rapa30sec_013.nd2-06.tif,cell green,0,1484.01
HeLa_GTSE1-FKBP-GFP_darkMitotrap_chTOGmCherry_rapa30sec_013.nd2-06.tif,spindle red,0,1717.7795
HeLa_GTSE1-FKBP-GFP_darkMitotrap_chTOGmCherry_rapa30sec_013.nd2-06.tif,cyto red,0,1134.0946
HeLa_GTSE1-FKBP-GFP_darkMitotrap_chTOGmCherry_rapa30sec_013.nd2-06.tif,mito red,0,1078.7535
HeLa_GTSE1-FKBP-GFP_darkMitotrap_chTOGmCherry_rapa30sec_013.nd2-06.tif,cell red,0,1111.9743
HeLa_GTSE1-FKBP-GFP_darkMitotrap_chTOGmCherry_rapa30sec_013.nd2-20.tif,spindle green,1,1440.3543
HeLa_GTSE1-FKBP-GFP_darkMitotrap_chTOGmCherry_rapa30sec_013.nd2-20.tif,cyto green,1,1471.0249
HeLa_GTSE1-FKBP-GFP_darkMitotrap_chTOGmCherry_rapa30sec_013.nd2-20.tif,mito green,1,1949.073
HeLa_GTSE1-FKBP-GFP_darkMitotrap_chTOGmCherry_rapa30sec_013.nd2-20.tif,cell green,1,1456.9741
HeLa_GTSE1-FKBP-GFP_darkMitotrap_chTOGmCherry_rapa30sec_013.nd2-20.tif,spindle red,1,968.5522
HeLa_GTSE1-FKBP-GFP_darkMitotrap_chTOGmCherry_rapa30sec_013.nd2-20.tif,cyto red,1,692.284
HeLa_GTSE1-FKBP-GFP_darkMitotrap_chTOGmCherry_rapa30sec_013.nd2-20.tif,mito red,1,629.7514
HeLa_GTSE1-FKBP-GFP_darkMitotrap_chTOGmCherry_rapa30sec_013.nd2-20.tif,cell red,1,654.4012
