 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,5.868,1153.528,68.848,930,1402,6768.649,1182366
2,4.397,2900.266,123.454,2492,3291,12751.141,2227404
3,4.397,2256.961,288.935,1602,2919,9922.825,1733346
4,4.397,2937.405,412.822,2192,3953,12914.426,2255927
5,444.904,2681.268,345.055,1462,3989,1192906.069,208380075
6,5.868,2058.465,91.127,1676,2362,12078.625,2109927
7,4.397,2424.862,104.536,2054,2736,10661.009,1862294
8,4.397,2404.355,198.822,1938,2846,10570.851,1846545
9,4.397,2235.992,120.979,1842,2603,9830.635,1717242
10,444.904,2339.875,146.514,1783,3047,1041019.144,181848054
