 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,53.880,359.964,28.255,274,504,19394.661,1612637
2,9.236,951.156,48.543,798,1134,8785.342,730488
3,9.236,593.926,87.519,402,898,5485.787,456135
4,9.236,998.943,65.698,810,1183,9226.721,767188
5,432.563,837.273,170.081,362,1237,362173.744,30114204
6,53.880,418.482,44.999,283,586,22547.598,1874799
7,9.236,1907.992,84.789,1632,2206,17623.144,1465338
8,9.236,975.214,165.328,613,1350,9007.547,748964
9,9.236,1554.874,131.166,1285,1948,14361.570,1194143
10,432.563,1404.223,333.710,564,2206,607415.567,50505694
