 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,37.415,380.750,24.125,304,470,14245.753,1184513
2,9.236,1230.309,53.195,1047,1374,11363.729,944877
3,9.236,922.357,80.284,738,1125,8519.336,708370
4,9.236,952.188,76.812,732,1135,8794.867,731280
5,353.873,994.605,166.830,494,1458,351963.903,29265271
6,37.415,351.631,31.181,256,479,13156.256,1093923
7,9.236,1658.807,68.809,1452,1851,15321.551,1273964
8,9.236,1231.434,177.518,844,1653,11374.120,945741
9,9.236,1277.945,125.314,1019,1662,11803.724,981462
10,353.873,1302.807,272.985,589,2004,461028.214,38333805
