file,type,time,measure
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-LCa_009-01.tif,spindle green,0,359.8974
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-LCa_009-01.tif,cyto green,0,229.2203
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-LCa_009-01.tif,mito green,0,238.745
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-LCa_009-01.tif,cell green,0,253.4195
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-LCa_009-01.tif,spindle red,0,749.4649
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-LCa_009-01.tif,cyto red,0,494.0222
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-LCa_009-01.tif,mito red,0,491.6875
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-LCa_009-01.tif,cell red,0,522.5767
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-LCa_009-12.tif,spindle green,1,289.1608
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-LCa_009-12.tif,cyto green,1,225.3274
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-LCa_009-12.tif,mito green,1,271.6061
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-LCa_009-12.tif,cell green,1,247.2179
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-LCa_009-12.tif,spindle red,1,719.5916
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-LCa_009-12.tif,cyto red,1,467.0773
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-LCa_009-12.tif,mito red,1,471.3494
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-LCa_009-12.tif,cell red,1,495.8402
