 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,25.436,330.078,25.247,254,421,8396.014,698116
2,9.236,844.085,47.607,707,991,7796.376,648257
3,9.236,807.914,95.667,596,1027,7462.287,620478
4,9.236,932.165,90.403,671,1224,8609.933,715903
5,423.796,791.337,131.354,353,1224,335365.468,27885136
6,25.436,301.924,29.157,231,430,7679.874,638570
7,9.236,1691.387,78.892,1466,1945,15622.470,1298985
8,9.236,1438.616,270.450,981,2086,13287.756,1104857
9,9.236,1103.135,94.483,839,1373,10189.095,847208
10,423.796,1247.742,285.504,448,2086,528787.992,43967929
