 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,5.084,719.449,55.982,561,879,3657.322,638871
2,4.397,1352.130,86.069,1089,1645,5944.698,1038436
3,4.397,1221.404,166.440,854,1582,5369.953,938038
4,4.397,2488.682,142.902,1981,2910,10941.598,1911308
5,340.228,1498.480,319.885,855,2930,509825.258,89057662
6,5.084,647.676,72.951,456,912,3292.461,575136
7,4.397,3367.361,282.477,2683,4001,14804.744,2586133
8,4.397,2255.605,196.950,1758,2781,9916.865,1732305
9,4.397,2732.501,134.217,2286,3098,12013.558,2098561
10,340.228,2616.694,453.625,1110,4116,890273.327,155515365
