 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,5.144,887.621,78.779,652,1189,4565.884,2215503
2,1.583,4113.921,207.840,3637,4890,6511.329,3159491
3,1.583,2514.372,337.124,1616,3288,3979.636,1931038
4,1.583,5863.908,442.737,4348,6795,9281.131,4503481
5,172.322,3711.251,916.926,1422,6858,639531.992,310319973
6,5.144,506.603,48.337,355,681,2605.943,1264481
7,1.583,1663.203,87.290,1358,1917,2632.443,1277340
8,1.583,1109.178,145.030,698,1422,1755.558,851849
9,1.583,1383.930,115.758,1052,1736,2190.422,1062858
10,172.322,1337.575,252.701,616,2188,230494.279,111842690
