file,type,time,measure
HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 - HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 (series 1)-01.tif,spindle green,0,4611.4524
HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 - HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 (series 1)-01.tif,cyto green,0,2526.2024
HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 - HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 (series 1)-01.tif,mito green,0,3558.9628
HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 - HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 (series 1)-01.tif,cell green,0,3370.1239
HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 - HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 (series 1)-01.tif,spindle red,0,1509.0474
HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 - HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 (series 1)-01.tif,cyto red,0,778.9002
HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 - HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 (series 1)-01.tif,mito red,0,1002.6216
HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 - HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 (series 1)-01.tif,cell red,0,1024.7193
HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 - HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 (series 1)-17.tif,spindle green,1,3226.2992
HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 - HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 (series 1)-17.tif,cyto green,1,1626.751
HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 - HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 (series 1)-17.tif,mito green,1,4976.2862
HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 - HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 (series 1)-17.tif,cell green,1,2823.6297
HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 - HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 (series 1)-17.tif,spindle red,1,1156.6002
HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 - HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 (series 1)-17.tif,cyto red,1,602.5754
HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 - HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 (series 1)-17.tif,mito red,1,877.3267
HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 - HeLa_GTSE1-FKBP-GFP_darkmito_mCherryLCa_002.nd2 (series 1)-17.tif,cell red,1,830.9723
