 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,39.640,326.389,30.315,240,419,12938.032,1075778
2,9.236,971.815,53.163,814,1141,8976.157,746354
3,9.236,698.152,46.169,552,851,6448.475,536181
4,9.236,724.911,53.607,560,875,6695.635,556732
5,345.274,757.374,136.780,376,1141,261501.551,21743462
6,39.640,212.633,16.823,162,276,8428.775,700840
7,9.236,775.388,51.894,623,953,7161.861,595498
8,9.236,364.642,46.032,263,515,3368.010,280045
9,9.236,458.100,107.780,291,705,4231.237,351821
10,345.274,503.976,154.964,230,953,174009.619,14468639
