 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,23.668,175.057,11.926,139,213,4143.334,344512
2,9.236,737.924,40.585,632,863,6815.829,566726
3,9.236,454.814,64.339,262,599,4200.881,349297
4,9.236,471.026,55.202,336,591,4350.626,361748
5,393.777,547.200,117.621,216,873,215475.129,17916434
6,23.668,206.982,14.367,155,269,4898.946,407340
7,9.236,727.374,37.044,607,844,6718.377,558623
8,9.236,418.695,43.235,291,534,3867.274,321558
9,9.236,471.236,55.106,332,610,4352.562,361909
10,393.777,543.524,112.106,236,888,214027.490,17796065
