file,type,time,measure
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-TACC3_011-01.tif,spindle green,0,748.7079
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-TACC3_011-01.tif,cyto green,0,349.4956
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-TACC3_011-01.tif,mito green,0,268.5086
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-TACC3_011-01.tif,cell green,0,391.7958
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-TACC3_011-01.tif,spindle red,0,617.7993
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-TACC3_011-01.tif,cyto red,0,313.7016
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-TACC3_011-01.tif,mito red,0,149.4745
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-TACC3_011-01.tif,cell red,0,349.5332
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-TACC3_011-27.tif,spindle green,1,640.3573
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-TACC3_011-27.tif,cyto green,1,301.0122
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-TACC3_011-27.tif,mito green,1,324.9954
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-TACC3_011-27.tif,cell green,1,362.3519
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-TACC3_011-27.tif,spindle red,1,614.939
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-TACC3_011-27.tif,cyto red,1,372.7151
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-TACC3_011-27.tif,mito red,1,134.7111
CRISPR-GTSE1-FKBP-GFP_+rapa_mCherry-TACC3_011-27.tif,cell red,1,345.7859
