file,type,time,measure
CRISPR-GTSE1-FKBP-GFP_+rapa__mCherry-TACC3_012-01.tif,spindle green,0,488.1226
CRISPR-GTSE1-FKBP-GFP_+rapa__mCherry-TACC3_012-01.tif,cyto green,0,171.0653
CRISPR-GTSE1-FKBP-GFP_+rapa__mCherry-TACC3_012-01.tif,mito green,0,141.6694
CRISPR-GTSE1-FKBP-GFP_+rapa__mCherry-TACC3_012-01.tif,cell green,0,216.8456
CRISPR-GTSE1-FKBP-GFP_+rapa__mCherry-TACC3_012-01.tif,spindle red,0,1766.4675
CRISPR-GTSE1-FKBP-GFP_+rapa__mCherry-TACC3_012-01.tif,cyto red,0,527.3373
CRISPR-GTSE1-FKBP-GFP_+rapa__mCherry-TACC3_012-01.tif,mito red,0,449.81
CRISPR-GTSE1-FKBP-GFP_+rapa__mCherry-TACC3_012-01.tif,cell red,0,735.5421
CRISPR-GTSE1-FKBP-GFP_+rapa__mCherry-TACC3_012-13.tif,spindle green,1,289.7955
CRISPR-GTSE1-FKBP-GFP_+rapa__mCherry-TACC3_012-13.tif,cyto green,1,141.3828
CRISPR-GTSE1-FKBP-GFP_+rapa__mCherry-TACC3_012-13.tif,mito green,1,219.4296
CRISPR-GTSE1-FKBP-GFP_+rapa__mCherry-TACC3_012-13.tif,cell green,1,204.4365
CRISPR-GTSE1-FKBP-GFP_+rapa__mCherry-TACC3_012-13.tif,spindle red,1,1653.951
CRISPR-GTSE1-FKBP-GFP_+rapa__mCherry-TACC3_012-13.tif,cyto red,1,588.7817
CRISPR-GTSE1-FKBP-GFP_+rapa__mCherry-TACC3_012-13.tif,mito red,1,478.6124
CRISPR-GTSE1-FKBP-GFP_+rapa__mCherry-TACC3_012-13.tif,cell red,1,734.3894
