 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,4.608,611.719,50.395,444,777,2819.020,492434.000
2,4.397,1306.857,79.353,1032,1542,5745.651,1003666.000
3,4.397,977.823,69.253,773,1220,4299.040,750968.000
4,4.397,1092.452,68.509,908,1333,4803.011,839003.000
5,572.100,1087.363,141.070,676,1607,622080.375,108666691.000
6,4.608,261.757,32.876,166,369,1206.267,210714.000
7,4.397,766.293,73.589,549,1019,3369.040,588513.000
8,4.397,395.562,43.910,266,536,1739.107,303792.000
9,4.397,455.129,43.345,314,584,2000.994,349539.000
10,572.100,495.426,143.164,206,1070,283433.361,49510910.000
