file,type,time,measure
HeLa_GTSE1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 - ...E1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 (series 1)-01.tif,spindle green,0,695.1375
HeLa_GTSE1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 - ...E1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 (series 1)-01.tif,cyto green,0,366.1037
HeLa_GTSE1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 - ...E1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 (series 1)-01.tif,mito green,0,480.7326
HeLa_GTSE1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 - ...E1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 (series 1)-01.tif,cell green,0,475.6436
HeLa_GTSE1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 - ...E1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 (series 1)-01.tif,spindle red,0,504.5364
HeLa_GTSE1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 - ...E1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 (series 1)-01.tif,cyto red,0,133.806
HeLa_GTSE1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 - ...E1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 (series 1)-01.tif,mito red,0,193.3724
HeLa_GTSE1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 - ...E1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 (series 1)-01.tif,cell red,0,233.6697
HeLa_GTSE1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 - ...E1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 (series 1)-31.tif,spindle green,1,403.7006
HeLa_GTSE1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 - ...E1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 (series 1)-31.tif,cyto green,1,199.0157
HeLa_GTSE1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 - ...E1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 (series 1)-31.tif,mito green,1,361.9128
HeLa_GTSE1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 - ...E1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 (series 1)-31.tif,cell green,1,318.2116
HeLa_GTSE1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 - ...E1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 (series 1)-31.tif,spindle red,1,328.3409
HeLa_GTSE1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 - ...E1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 (series 1)-31.tif,cyto red,1,85.6651
HeLa_GTSE1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 - ...E1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 (series 1)-31.tif,mito red,1,149.0531
HeLa_GTSE1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 - ...E1-FKBP-GFP_mCherryTACC3_Mitotrap_rapa30sec_014.nd2 (series 1)-31.tif,cell red,1,173.0487
