file,type,time,measure
HeLa_GTSE1-FKBP-GFP_darkMitotrap_mCherryTACC3_rapa30sec_010.nd2-05.tif,spindle green,0,2731.0516
HeLa_GTSE1-FKBP-GFP_darkMitotrap_mCherryTACC3_rapa30sec_010.nd2-05.tif,cyto green,0,978.9227
HeLa_GTSE1-FKBP-GFP_darkMitotrap_mCherryTACC3_rapa30sec_010.nd2-05.tif,mito green,0,1179.2195
HeLa_GTSE1-FKBP-GFP_darkMitotrap_mCherryTACC3_rapa30sec_010.nd2-05.tif,cell green,0,1126.1827
HeLa_GTSE1-FKBP-GFP_darkMitotrap_mCherryTACC3_rapa30sec_010.nd2-05.tif,spindle red,0,5803.9739
HeLa_GTSE1-FKBP-GFP_darkMitotrap_mCherryTACC3_rapa30sec_010.nd2-05.tif,cyto red,0,387.4284
HeLa_GTSE1-FKBP-GFP_darkMitotrap_mCherryTACC3_rapa30sec_010.nd2-05.tif,mito red,0,794.3372
HeLa_GTSE1-FKBP-GFP_darkMitotrap_mCherryTACC3_rapa30sec_010.nd2-05.tif,cell red,0,959.7761
HeLa_GTSE1-FKBP-GFP_darkMitotrap_mCherryTACC3_rapa30sec_010.nd2-16.tif,spindle green,1,1959.5269
HeLa_GTSE1-FKBP-GFP_darkMitotrap_mCherryTACC3_rapa30sec_010.nd2-16.tif,cyto green,1,492.691
HeLa_GTSE1-FKBP-GFP_darkMitotrap_mCherryTACC3_rapa30sec_010.nd2-16.tif,mito green,1,2214.7652
HeLa_GTSE1-FKBP-GFP_darkMitotrap_mCherryTACC3_rapa30sec_010.nd2-16.tif,cell green,1,1176.2449
HeLa_GTSE1-FKBP-GFP_darkMitotrap_mCherryTACC3_rapa30sec_010.nd2-16.tif,spindle red,1,4599.2361
HeLa_GTSE1-FKBP-GFP_darkMitotrap_mCherryTACC3_rapa30sec_010.nd2-16.tif,cyto red,1,386.5277
HeLa_GTSE1-FKBP-GFP_darkMitotrap_mCherryTACC3_rapa30sec_010.nd2-16.tif,mito red,1,709.8116
HeLa_GTSE1-FKBP-GFP_darkMitotrap_mCherryTACC3_rapa30sec_010.nd2-16.tif,cell red,1,937.7547
