 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,8.473,822.306,58.132,642,1022,6966.991,1217013
2,4.397,2475.987,124.204,2117,2891,10885.782,1901558
3,4.397,1366.901,169.970,887,1767,6009.639,1049780
4,4.397,2816.604,340.973,2094,3554,12383.320,2163152
5,444.308,2197.073,447.939,956,3635,976178.110,170521446
6,8.473,410.117,41.927,276,556,3474.717,606973
7,4.397,1720.578,222.332,1061,2356,7564.595,1321404
8,4.397,380.465,60.407,250,582,1672.730,292197
9,4.397,459.514,83.326,256,681,2020.274,352907
10,444.308,592.353,338.927,194,2521,263187.277,45974269
