 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,7.052,1198.015,93.753,914,1626,8448.799,4099609.000
2,1.583,3290.120,176.749,2838,3808,5207.454,2526812.000
3,1.583,2306.031,219.818,1813,2914,3649.883,1771032.000
4,1.583,3694.638,290.950,3143,4603,5847.708,2837482.000
5,204.134,2872.860,511.559,1335,5259,586449.107,284562576.000
6,7.052,720.366,105.610,473,1141,5080.257,2465092.000
7,1.583,3665.607,185.873,3120,4163,5801.758,2815186.000
8,1.583,2025.332,200.723,1518,2540,3205.605,1555455.000
9,1.583,3183.034,337.695,2449,3794,5037.964,2444570.000
10,204.134,2650.728,644.240,1089,4303,541104.288,262559919.000
