 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,10.243,1138.300,173.087,747,1906,11659.119,5657352
2,1.583,6864.936,219.437,6231,7561,10865.514,5272271
3,1.583,4487.734,324.988,3691,5477,7102.985,3446580
4,1.583,4918.211,213.402,4263,5637,7784.324,3777186
5,183.606,4879.408,919.470,2640,7733,895887.558,434711330
6,10.243,730.792,61.701,514,963,7485.192,3632038
7,1.583,2116.310,94.325,1812,2483,3349.601,1625326
8,1.583,1537.204,121.711,1190,1899,2433.018,1180573
9,1.583,1762.277,97.963,1500,2048,2789.254,1353429
10,183.606,1719.734,247.044,882,2483,315753.049,153212785
