file,type,time,measure
HeLa_CLTA-FKBP-GFP_GTSE1_12_011-01.tif,spindle green,0,2350.8757
HeLa_CLTA-FKBP-GFP_GTSE1_12_011-01.tif,cyto green,0,1558.1205
HeLa_CLTA-FKBP-GFP_GTSE1_12_011-01.tif,mito green,0,1459.6114
HeLa_CLTA-FKBP-GFP_GTSE1_12_011-01.tif,cell green,0,1461.9309
HeLa_CLTA-FKBP-GFP_GTSE1_12_011-01.tif,spindle red,0,970.4108
HeLa_CLTA-FKBP-GFP_GTSE1_12_011-01.tif,cyto red,0,37.024
HeLa_CLTA-FKBP-GFP_GTSE1_12_011-01.tif,mito red,0,641.3847
HeLa_CLTA-FKBP-GFP_GTSE1_12_011-01.tif,cell red,0,464.8754
HeLa_CLTA-FKBP-GFP_GTSE1_12_011-16.tif,spindle green,1,3148.9766
HeLa_CLTA-FKBP-GFP_GTSE1_12_011-16.tif,cyto green,1,2552.8151
HeLa_CLTA-FKBP-GFP_GTSE1_12_011-16.tif,mito green,1,3787.9688
HeLa_CLTA-FKBP-GFP_GTSE1_12_011-16.tif,cell green,1,2667.7872
HeLa_CLTA-FKBP-GFP_GTSE1_12_011-16.tif,spindle red,1,2296.6823
HeLa_CLTA-FKBP-GFP_GTSE1_12_011-16.tif,cyto red,1,1816.224
HeLa_CLTA-FKBP-GFP_GTSE1_12_011-16.tif,mito red,1,2231.6953
HeLa_CLTA-FKBP-GFP_GTSE1_12_011-16.tif,cell red,1,1923.2553
