 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.893,2321.485,157.564,1816,2828,6717.158,3259365.000
2,1.583,8120.349,308.316,7223,8901,12852.525,6236428.000
3,1.583,4701.574,505.454,3897,6761,7441.441,3610809.000
4,1.583,5508.712,502.172,4616,6888,8718.943,4230691.000
5,205.694,5474.352,1201.940,2789,10478,1126043.010,546389611.000
6,2.893,2093.113,185.317,1647,2587,6056.370,2938731.000
7,1.583,4818.982,257.922,4214,5507,7627.269,3700978.000
8,1.583,3304.469,1193.161,1728,5380,5230.165,2537832.000
9,1.583,3404.721,593.215,2431,4657,5388.841,2614826.000
10,205.694,3780.441,995.008,1324,7020,777615.151,377322035.000
