file,type,time,measure
HeLa_CLTA-FKBP-GFP_GTSE1_3_010-01.tif,spindle green,0,5798.8639
HeLa_CLTA-FKBP-GFP_GTSE1_3_010-01.tif,cyto green,0,2380.0892
HeLa_CLTA-FKBP-GFP_GTSE1_3_010-01.tif,mito green,0,3187.2272
HeLa_CLTA-FKBP-GFP_GTSE1_3_010-01.tif,cell green,0,3152.8671
HeLa_CLTA-FKBP-GFP_GTSE1_3_010-01.tif,spindle red,0,2725.8685
HeLa_CLTA-FKBP-GFP_GTSE1_3_010-01.tif,cyto red,0,1211.3555
HeLa_CLTA-FKBP-GFP_GTSE1_3_010-01.tif,mito red,0,1311.6081
HeLa_CLTA-FKBP-GFP_GTSE1_3_010-01.tif,cell red,0,1687.3277
HeLa_CLTA-FKBP-GFP_GTSE1_3_010-12.tif,spindle green,1,2765.8226
HeLa_CLTA-FKBP-GFP_GTSE1_3_010-12.tif,cyto green,1,1617.8408
HeLa_CLTA-FKBP-GFP_GTSE1_3_010-12.tif,mito green,1,4337.0765
HeLa_CLTA-FKBP-GFP_GTSE1_3_010-12.tif,cell green,1,2492.2072
HeLa_CLTA-FKBP-GFP_GTSE1_3_010-12.tif,spindle red,1,1655.7272
HeLa_CLTA-FKBP-GFP_GTSE1_3_010-12.tif,cyto red,1,688.3184
HeLa_CLTA-FKBP-GFP_GTSE1_3_010-12.tif,mito red,1,1131.4668
HeLa_CLTA-FKBP-GFP_GTSE1_3_010-12.tif,cell red,1,1128.5675
