 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,5.540,1298.468,97.613,1036,1700,7193.050,3490282
2,1.583,6132.581,411.102,4847,6995,9706.374,4709822
3,1.583,3806.936,173.051,3311,4464,6025.448,2923727
4,1.583,4312.010,348.592,3448,5235,6824.857,3311624
5,184.127,4348.633,868.341,2072,6995,800701.530,388524234
6,5.540,1070.325,102.961,750,1508,5929.220,2877034
7,1.583,5667.324,238.832,4771,6262,8969.987,4352505
8,1.583,3537.578,283.989,2741,4391,5599.120,2716860
9,1.583,4161.354,302.531,3487,4827,6586.405,3195920
10,184.127,4095.874,886.942,1727,6318,754161.721,365941732
