 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,4.847,2777.525,129.732,2380,3293,13463.184,6532738
2,1.583,5576.168,338.839,4764,7087,8825.709,4282497
3,1.583,3581.773,458.395,2790,4965,5669.071,2750802
4,1.583,7215.279,893.526,5219,9463,11420.020,5541334
5,226.478,5063.895,1043.798,2313,9463,1146862.148,556491677
6,4.847,1776.337,209.749,1264,2537,8610.238,4177944
7,1.583,8816.397,272.171,7959,9628,13954.199,6770993
8,1.583,4698.362,737.318,3212,6473,7436.357,3608342
9,1.583,8023.900,960.308,6134,9478,12699.870,6162355
10,226.478,6983.959,1750.925,2139,10702,1581714.935,767495203
